Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
167b,01-001.274237,3116,21893,1.26,0.22,DVL1-1
167b,01-003.150503,1396,15204,1.24,0.2,PRDM16-3
167b,01-006.150830,1185,13358,1.23,0.24,CHD5-2
167b,01-007.727575,2212,18945,1,0.08,CAMTA1-18
167b,01-010.214967,3039,20528,0.87,0.11,KIF1B-2
167b,03-010.158544,3647,29025,1.24,0.24,VHL-1
167b,03-010.163233,1894,17602,0.98,0.08,VHL-2
167b,03-059.972109,1753,13673,0.85,0.13,FHIT-7
167b,03-060.782680,1768,14868,0.83,0.15,FHIT-4
167b,05-112.182873,1694,13197,0.93,0.09,APC-12
167b,05-112.206814,1018,10523,0.94,1,APC-18
167b,09-021.958641,3946,32333,1.06,0.11,CDKN2A-4
167b,09-021.961213,3038,20599,0.99,0.08,CDKN2A-3
167b,09-021.998809,2015,21348,1.17,1,CDKN2B-1
167b,09-097.258441,3570,26047,1.01,0.1,PTCH1-20
167b,09-097.284232,1816,14708,0.93,0.11,PTCH1-5
167b,09-134.767854,3416,28246,1.05,1,TSC1-18
167b,09-134.809748,3663,28767,1.14,0.15,TSC1-1
167b,10-089.680713,1719,15738,0.89,0.13,PTEN-4
167b,10-089.682864,2115,19496,0.9,0.12,PTEN-5
167b,10-089.710865,1423,14142,0.83,0.14,PTEN-8
167b,11-032.366613,1547,17327,1.01,0.13,WT1-11
167b,11-032.413841,3144,24378,1.18,0.17,WT1-1
167b,13-031.791351,2846,19410,0.88,0.12,BRCA2-3
167b,13-031.803112,3249,24253,0.87,0.11,BRCA2-9
167b,13-047.814761,1742,19373,0.99,0.08,RB1-3
167b,13-047.948892,2673,23903,0.95,0.08,RB1-25
167b,13-049.521254,5241,35565,0.94,0.09,MIR15A-1
167b,13-049.576833,3300,21236,0.85,0.12,DLEU1-2
167b,16-002.038612,2694,18488,1.04,0.09,TSC2-1
167b,16-002.067648,1508,13854,1.1,0.15,TSC2-25
167b,16-002.076651,3036,22792,1.09,0.19,TSC2-38
167b,17-007.514677,1485,15876,1.08,1,TP53-10
167b,17-007.519217,3280,25853,1,0.08,TP53-4b
167b,17-007.531504,3295,26938,1.05,0.16,TP53-1
167b,17-026.577746,1397,14276,0.96,0.09,NF1-18
167b,17-026.681489,3249,24148,0.94,0.1,NF1-39
167b,17-038.450829,2139,21199,0.98,0.08,BRCA1-24
167b,17-038.479889,3254,28619,0.97,0.13,BRCA1-15
167b,17-038.510430,2125,15806,0.88,0.12,BRCA1-6
167b,18-046.829678,2282,20006,0.91,0.13,SMAD4-4
167b,18-046.858705,1887,20199,1.02,1,SMAD4-12
167b,19-001.157954,3025,21416,1.1,0.14,STK11-1
167b,19-001.170331,2233,16889,1.09,0.12,STK11-3
167b,19-018.503959,2491,20335,1.12,0.14,FKBP8-9
167b,19-018.511130,2726,19923,1.1,0.12,FKBP8-4
167b,22-022.459352,2659,22156,1.16,0.2,SMARCB1-1
167b,22-022.506421,2714,18665,1.02,0.1,SMARCB1-9
167b,X-063.326842,480,4791,1.01,1,AMER1-2
167b,X-063.342134,2648,17120,1.18,0.2,AMER1-1
167b,02-061.126370,1853,21293,1.04,0.1,References PEX13
167b,02-189.557818,3603,26137,0.96,0.09,References COL3A1
167b,04-001.902193,1717,18783,1.06,1,References WHSC1
167b,04-187.390323,3533,24098,0.93,0.1,References KLKB1
167b,05-132.037607,3680,24673,0.96,0.1,References IL4
167b,06-065.588251,2178,18943,0.91,0.14,References EYS
167b,06-108.321498,1729,18303,0.95,0.09,References SEC63
167b,11-095.238425,2590,19525,1.13,0.15,References MTMR2
167b,14-022.972596,3553,24151,1.03,0.09,References MYH7
167b,15-042.653071,1759,17912,1.09,0.12,References SPG11
167b,16-080.537323,2193,20416,1.04,0.1,References PLCG2
167b,21-037.919589,2442,17666,0.78,0.18,References KCNJ6
167C,01-001.274237,996,8853,0.8,0.2,DVL1-1
167C,01-003.150503,679,9444,0.88,0.21,PRDM16-3
167C,01-006.150830,654,9429,0.97,0.26,CHD5-2
167C,01-007.727575,1164,12654,0.83,0.13,CAMTA1-18
167C,01-010.214967,1704,14516,0.94,0.15,KIF1B-2
167C,03-010.158544,1013,12637,0.75,0.19,VHL-1
167C,03-010.163233,993,12774,0.87,0.14,VHL-2
167C,03-059.972109,1162,14313,1.2,0.21,FHIT-7
167C,03-060.782680,1220,13870,1,0.19,FHIT-4
167C,05-112.182873,903,9843,0.94,0.14,APC-12
167C,05-112.206814,815,10455,1.06,1,APC-18
167C,09-021.958641,919,11857,0.57,0.11,CDKN2A-4
167C,09-021.961213,874,7864,0.58,0.09,CDKN2A-3
167C,09-021.998809,712,10021,0.64,1,CDKN2B-1
167C,09-097.258441,1731,18376,1.05,0.18,PTCH1-20
167C,09-097.284232,1477,17141,1.45,0.24,PTCH1-5
167C,09-134.767854,2226,24096,1.14,1,TSC1-18
167C,09-134.809748,1718,20730,1.16,0.24,TSC1-1
167C,10-089.680713,1163,14438,1.03,0.18,PTEN-4
167C,10-089.682864,1310,16522,0.95,0.16,PTEN-5
167C,10-089.710865,1173,15862,1.11,0.2,PTEN-8
167C,11-032.366613,1167,16985,1.12,0.23,WT1-11
167C,11-032.413841,965,10963,0.76,0.17,WT1-1
167C,13-031.791351,1485,13488,0.91,0.15,BRCA2-3
167C,13-031.803112,1755,18944,0.97,0.16,BRCA2-9
167C,13-047.814761,959,13202,0.75,0.12,RB1-3
167C,13-047.948892,1350,14962,0.73,0.11,RB1-25
167C,13-049.521254,1990,17052,0.68,0.11,MIR15A-1
167C,13-049.576833,1479,12538,0.78,0.13,DLEU1-2
167C,16-002.038612,1219,10133,0.89,0.15,TSC2-1
167C,16-002.067648,631,8305,0.84,0.17,TSC2-25
167C,16-002.076651,915,9944,0.71,0.16,TSC2-38
167C,17-007.514677,472,6786,0.51,1,TP53-10
167C,17-007.519217,667,8928,0.48,0.08,TP53-4b
167C,17-007.531504,1148,13715,0.71,0.15,TP53-1
167C,17-026.577746,904,12109,0.97,0.15,NF1-18
167C,17-026.681489,1713,18325,1.02,0.16,NF1-39
167C,17-038.450829,1189,16716,0.96,0.15,BRCA1-24
167C,17-038.479889,1667,20284,0.9,0.16,BRCA1-15
167C,17-038.510430,1208,12648,1.03,0.17,BRCA1-6
167C,18-046.829678,1365,16057,0.94,0.17,SMAD4-4
167C,18-046.858705,1066,15172,0.87,1,SMAD4-12
167C,19-001.157954,1167,11008,0.84,0.17,STK11-1
167C,19-001.170331,690,7551,0.71,0.13,STK11-3
167C,19-018.503959,903,11213,0.86,0.17,FKBP8-9
167C,19-018.511130,908,9451,0.75,0.14,FKBP8-4
167C,22-022.459352,980,11784,0.82,0.19,SMARCB1-1
167C,22-022.506421,928,8526,0.71,0.12,SMARCB1-9
167C,X-063.326842,290,3794,0.88,1,AMER1-2
167C,X-063.342134,1064,9005,0.99,0.24,AMER1-1
167C,02-061.126370,1507,21412,1.15,0.21,References PEX13
167C,02-189.557818,2128,22632,1.21,0.19,References COL3A1
167C,04-001.902193,916,13448,0.84,1,References WHSC1
167C,04-187.390323,1804,16821,0.96,0.15,References KLKB1
167C,05-132.037607,2166,17473,1.08,0.19,References IL4
167C,06-065.588251,1512,17988,1.11,0.21,References EYS
167C,06-108.321498,1224,17146,1.04,0.16,References SEC63
167C,11-095.238425,1613,16955,1.35,0.28,References MTMR2
167C,14-022.972596,1370,12130,0.79,0.13,References MYH7
167C,15-042.653071,900,12185,0.89,0.17,References SPG11
167C,16-080.537323,705,9435,0.6,0.11,References PLCG2
167C,21-037.919589,1353,11752,0.82,0.18,References KCNJ6
167D,01-001.274237,2168,16038,1.13,0.25,DVL1-1
167D,01-003.150503,1006,13480,1.04,0.22,PRDM16-3
167D,01-006.150830,846,11724,1,0.27,CHD5-2
167D,01-007.727575,1719,17918,0.96,0.12,CAMTA1-18
167D,01-010.214967,2643,19129,0.97,0.13,KIF1B-2
167D,03-010.158544,2239,20101,0.95,0.21,VHL-1
167D,03-010.163233,1308,14952,0.84,0.11,VHL-2
167D,03-059.972109,1741,16311,1.1,0.15,FHIT-7
167D,03-060.782680,1488,14850,0.87,0.13,FHIT-4
167D,05-112.182873,1668,14868,1.14,0.13,APC-12
167D,05-112.206814,1133,14333,1.19,1,APC-18
167D,09-021.958641,1990,20597,0.79,0.13,CDKN2A-4
167D,09-021.961213,1589,11467,0.67,0.08,CDKN2A-3
167D,09-021.998809,1153,15130,0.79,1,CDKN2B-1
167D,09-097.258441,2544,20912,0.94,0.12,PTCH1-20
167D,09-097.284232,1903,17695,1.2,0.15,PTCH1-5
167D,09-134.767854,3243,30649,1.16,1,TSC1-18
167D,09-134.809748,3646,32890,1.47,0.26,TSC1-1
167D,10-089.680713,1571,17063,0.99,0.13,PTEN-4
167D,10-089.682864,1832,20544,0.96,0.12,PTEN-5
167D,10-089.710865,1530,18902,1.09,0.17,PTEN-8
167D,11-032.366613,1725,23586,1.29,0.26,WT1-11
167D,11-032.413841,2452,21014,1.15,0.22,WT1-1
167D,13-031.791351,2186,16132,0.86,0.11,BRCA2-3
167D,13-031.803112,2684,22525,0.92,0.12,BRCA2-9
167D,13-047.814761,884,11566,0.55,0.07,RB1-3
167D,13-047.948892,1336,14156,0.56,0.07,RB1-25
167D,13-049.521254,2295,16915,0.53,0.06,MIR15A-1
167D,13-049.576833,1843,14317,0.69,0.1,DLEU1-2
167D,16-002.038612,1938,13664,0.93,0.13,TSC2-1
167D,16-002.067648,1142,12818,1.04,0.17,TSC2-25
167D,16-002.076651,1768,14672,0.83,0.15,TSC2-38
167D,17-007.514677,515,6964,0.43,1,TP53-10
167D,17-007.519217,1060,9998,0.43,0.05,TP53-4b
167D,17-007.531504,1468,13962,0.58,0.09,TP53-1
167D,17-026.577746,1048,13131,0.87,0.1,NF1-18
167D,17-026.681489,2478,20485,0.9,0.1,NF1-39
167D,17-038.450829,1574,19460,0.91,0.11,BRCA1-24
167D,17-038.479889,2337,24193,0.86,0.11,BRCA1-15
167D,17-038.510430,1776,14002,0.9,0.11,BRCA1-6
167D,18-046.829678,1957,20046,0.95,0.13,SMAD4-4
167D,18-046.858705,1508,19881,0.94,1,SMAD4-12
167D,19-001.157954,2432,18732,1.13,0.18,STK11-1
167D,19-001.170331,1675,14115,1.05,0.16,STK11-3
167D,19-018.503959,1861,17456,1.07,0.18,FKBP8-9
167D,19-018.511130,2022,16111,1.02,0.17,FKBP8-4
167D,22-022.459352,2067,20126,1.13,0.22,SMARCB1-1
167D,22-022.506421,1724,13189,0.86,0.11,SMARCB1-9
167D,X-063.326842,453,5498,1.05,1,AMER1-2
167D,X-063.342134,2097,15139,1.29,0.31,AMER1-1
167D,02-061.126370,1658,23441,1.05,0.17,References PEX13
167D,02-189.557818,3189,25786,1.09,0.13,References COL3A1
167D,04-001.902193,1242,17507,0.9,1,References WHSC1
167D,04-187.390323,2969,22112,1,0.11,References KLKB1
167D,05-132.037607,3367,23703,1.14,0.19,References IL4
167D,06-065.588251,1923,19805,0.99,0.14,References EYS
167D,06-108.321498,1563,19966,1,0.11,References SEC63
167D,11-095.238425,2360,20123,1.28,0.22,References MTMR2
167D,14-022.972596,2104,15783,0.8,0.11,References MYH7
167D,15-042.653071,1220,15435,0.93,0.16,References SPG11
167D,16-080.537323,1153,13068,0.68,0.09,References PLCG2
167D,21-037.919589,2166,16476,0.89,0.17,References KCNJ6
167E,01-001.274237,1973,15339,1.39,0.76,DVL1-1
167E,01-003.150503,0,0,0,0,PRDM16-3
167E,01-006.150830,0,0,0,0,CHD5-2
167E,01-007.727575,259,3128,0.54,0.27,CAMTA1-18
167E,01-010.214967,1868,14047,0.98,0.49,KIF1B-2
167E,03-010.158544,1134,11083,1.02,0.54,VHL-1
167E,03-010.163233,295,3733,0.73,0.37,VHL-2
167E,03-059.972109,811,7901,1.08,0.54,FHIT-7
167E,03-060.782680,325,3858,0.57,0.29,FHIT-4
167E,05-112.182873,414,3972,0.64,0.32,APC-12
167E,05-112.206814,0,0,0,0,APC-18
167E,09-021.958641,1222,13261,0.81,0.43,CDKN2A-4
167E,09-021.961213,869,6587,0.52,0.26,CDKN2A-3
167E,09-021.998809,0,0,0,0,CDKN2B-1
167E,09-097.258441,1838,15944,1.1,0.55,PTCH1-20
167E,09-097.284232,891,8604,1.27,0.63,PTCH1-5
167E,09-134.767854,777,7667,0.66,1,TSC1-18
167E,09-134.809748,1802,16736,1.36,0.71,TSC1-1
167E,10-089.680713,665,8083,1.3,0.64,PTEN-4
167E,10-089.682864,544,6576,0.95,0.47,PTEN-5
167E,10-089.710865,0,0,0,0,PTEN-8
167E,11-032.366613,0,0,0,0,WT1-11
167E,11-032.413841,1469,13503,1.32,0.7,WT1-1
167E,13-031.791351,2024,15600,1.22,0.6,BRCA2-3
167E,13-031.803112,1652,14573,1.02,0.51,BRCA2-9
167E,13-047.814761,0,0,0,0,RB1-3
167E,13-047.948892,243,2682,0.39,0.2,RB1-25
167E,13-049.521254,2453,17996,0.78,0.39,MIR15A-1
167E,13-049.576833,3086,23600,1.53,0.78,DLEU1-2
167E,16-002.038612,3640,25698,2.31,1.19,TSC2-1
167E,16-002.067648,270,3366,0.79,0.4,TSC2-25
167E,16-002.076651,2661,22463,1.82,0.93,TSC2-38
167E,17-007.514677,0,0,0,0,TP53-10
167E,17-007.519217,758,7588,0.62,0.32,TP53-4b
167E,17-007.531504,1843,17526,1.64,0.82,TP53-1
167E,17-026.577746,256,3245,0.94,0.47,NF1-18
167E,17-026.681489,1466,12187,0.94,0.46,NF1-39
167E,17-038.450829,402,5267,0.82,0.41,BRCA1-24
167E,17-038.479889,719,8003,0.7,0.34,BRCA1-15
167E,17-038.510430,1051,9347,0.94,0.46,BRCA1-6
167E,18-046.829678,608,6873,0.87,0.43,SMAD4-4
167E,18-046.858705,310,4514,0.96,1,SMAD4-12
167E,19-001.157954,1287,10036,0.91,0.47,STK11-1
167E,19-001.170331,1964,17301,2.12,1.1,STK11-3
167E,19-018.503959,692,7094,0.81,0.42,FKBP8-9
167E,19-018.511130,2779,23212,2.46,1.29,FKBP8-4
167E,22-022.459352,1952,20204,2.62,1.36,SMARCB1-1
167E,22-022.506421,1752,13756,1.27,0.64,SMARCB1-9
167E,X-063.326842,0,0,0,0,AMER1-2
167E,X-063.342134,2762,20861,2.28,1.31,AMER1-1
167E,02-061.126370,265,3330,1.74,0.92,References PEX13
167E,02-189.557818,3747,29939,2.05,1.02,References COL3A1
167E,04-001.902193,322,4230,1.19,1,References WHSC1
167E,04-187.390323,1744,13984,0.94,0.47,References KLKB1
167E,05-132.037607,6432,45427,2.75,1.46,References IL4
167E,06-065.588251,430,4652,0.6,0.3,References EYS
167E,06-108.321498,202,2640,0.7,0.35,References SEC63
167E,11-095.238425,1431,13072,1.65,0.85,References MTMR2
167E,14-022.972596,1394,10206,0.73,0.38,References MYH7
167E,15-042.653071,220,3058,0.77,0.41,References SPG11
167E,16-080.537323,200,2625,0.41,0.21,References PLCG2
167E,21-037.919589,2444,17696,1.18,0.61,References KCNJ6
167G,01-001.274237,1377,10388,0.73,0.23,DVL1-1
167G,01-003.150503,808,9311,0.87,0.26,PRDM16-3
167G,01-006.150830,701,8235,0.86,0.26,CHD5-2
167G,01-007.727575,1518,14213,0.87,0.21,CAMTA1-18
167G,01-010.214967,3142,22663,1.18,0.3,KIF1B-2
167G,03-010.158544,1138,10258,0.53,0.17,VHL-1
167G,03-010.163233,970,9908,0.64,0.16,VHL-2
167G,03-059.972109,1550,14096,1.04,0.28,FHIT-7
167G,03-060.782680,1569,14627,0.97,0.28,FHIT-4
167G,05-112.182873,1353,11807,0.99,0.25,APC-12
167G,05-112.206814,990,10924,1.13,1,APC-18
167G,09-021.958641,1334,13601,0.54,0.14,CDKN2A-4
167G,09-021.961213,1230,9014,0.53,0.13,CDKN2A-3
167G,09-021.998809,696,7830,0.5,1,CDKN2B-1
167G,09-097.258441,2331,18634,0.87,0.23,PTCH1-20
167G,09-097.284232,1801,16599,1.25,0.33,PTCH1-5
167G,09-134.767854,2438,21959,0.97,1,TSC1-18
167G,09-134.809748,1887,16723,0.8,0.22,TSC1-1
167G,10-089.680713,1602,16175,1.07,0.3,PTEN-4
167G,10-089.682864,1792,18008,0.97,0.26,PTEN-5
167G,10-089.710865,1321,14118,0.96,0.26,PTEN-8
167G,11-032.366613,1330,15926,1.06,0.27,WT1-11
167G,11-032.413841,1594,13936,0.82,0.24,WT1-1
167G,13-031.791351,2174,15701,0.87,0.23,BRCA2-3
167G,13-031.803112,2426,19839,0.86,0.22,BRCA2-9
167G,13-047.814761,614,7156,0.42,0.1,RB1-3
167G,13-047.948892,945,8683,0.4,0.1,RB1-25
167G,13-049.521254,2619,19378,0.62,0.16,MIR15A-1
167G,13-049.576833,1474,11124,0.55,0.14,DLEU1-2
167G,16-002.038612,1866,13330,0.92,0.23,TSC2-1
167G,16-002.067648,726,7351,0.69,0.2,TSC2-25
167G,16-002.076651,1201,9960,0.58,0.18,TSC2-38
167G,17-007.514677,306,3603,0.28,1,TP53-10
167G,17-007.519217,657,6058,0.28,0.07,TP53-4b
167G,17-007.531504,911,8502,0.39,0.12,TP53-1
167G,17-026.577746,999,11168,0.87,0.22,NF1-18
167G,17-026.681489,2832,22790,1.07,0.28,NF1-39
167G,17-038.450829,1433,15727,0.85,0.21,BRCA1-24
167G,17-038.479889,2292,23056,0.92,0.26,BRCA1-15
167G,17-038.510430,1946,15614,1.05,0.28,BRCA1-6
167G,18-046.829678,1821,17346,0.93,0.26,SMAD4-4
167G,18-046.858705,1478,17088,1,1,SMAD4-12
167G,19-001.157954,1682,12875,0.8,0.22,STK11-1
167G,19-001.170331,1038,8711,0.68,0.18,STK11-3
167G,19-018.503959,1205,11056,0.73,0.2,FKBP8-9
167G,19-018.511130,1333,10623,0.71,0.19,FKBP8-4
167G,22-022.459352,854,8042,0.5,0.16,SMARCB1-1
167G,22-022.506421,1029,7705,0.51,0.13,SMARCB1-9
167G,X-063.326842,301,3412,0.83,1,AMER1-2
167G,X-063.342134,1202,8487,0.72,0.21,AMER1-1
167G,02-061.126370,1440,17271,0.96,0.24,References PEX13
167G,02-189.557818,3669,29414,1.31,0.33,References COL3A1
167G,04-001.902193,1039,12304,0.8,1,References WHSC1
167G,04-187.390323,3057,22791,1.07,0.27,References KLKB1
167G,05-132.037607,3457,24234,1.16,0.28,References IL4
167G,06-065.588251,2433,23224,1.31,0.37,References EYS
167G,06-108.321498,1560,17759,1.07,0.27,References SEC63
167G,11-095.238425,2229,18756,1.3,0.37,References MTMR2
167G,14-022.972596,1903,14202,0.74,0.18,References MYH7
167G,15-042.653071,754,8137,0.57,0.15,References SPG11
167G,16-080.537323,1035,11177,0.67,0.17,References PLCG2
167G,21-037.919589,1844,13655,0.75,0.24,References KCNJ6
167H,01-001.274237,1098,7815,0.48,0.15,DVL1-1
167H,01-003.150503,608,6671,0.57,0.17,PRDM16-3
167H,01-006.150830,625,6941,0.67,0.21,CHD5-2
167H,01-007.727575,1688,15423,0.85,0.22,CAMTA1-18
167H,01-010.214967,4134,28381,1.26,0.35,KIF1B-2
167H,03-010.158544,1099,9009,0.41,0.14,VHL-1
167H,03-010.163233,1065,10265,0.6,0.16,VHL-2
167H,03-059.972109,2134,17845,1.15,0.33,FHIT-7
167H,03-060.782680,1851,16102,0.95,0.29,FHIT-4
167H,05-112.182873,1570,12696,0.94,0.25,APC-12
167H,05-112.206814,1106,11685,1.09,1,APC-18
167H,09-021.958641,1336,13397,0.46,0.12,CDKN2A-4
167H,09-021.961213,1319,9192,0.47,0.12,CDKN2A-3
167H,09-021.998809,580,6338,0.37,1,CDKN2B-1
167H,09-097.258441,2228,16819,0.68,0.19,PTCH1-20
167H,09-097.284232,2455,20610,1.37,0.39,PTCH1-5
167H,09-134.767854,2570,21389,0.83,1,TSC1-18
167H,09-134.809748,1744,14306,0.6,0.17,TSC1-1
167H,10-089.680713,1991,18229,1.08,0.31,PTEN-4
167H,10-089.682864,2250,21470,1.04,0.29,PTEN-5
167H,10-089.710865,1442,14496,0.88,0.26,PTEN-8
167H,11-032.366613,1451,16226,0.99,0.27,WT1-11
167H,11-032.413841,1418,11527,0.59,0.18,WT1-1
167H,13-031.791351,2737,18856,0.9,0.25,BRCA2-3
167H,13-031.803112,2948,22642,0.85,0.24,BRCA2-9
167H,13-047.814761,893,10120,0.54,0.14,RB1-3
167H,13-047.948892,1204,10509,0.44,0.11,RB1-25
167H,13-049.521254,3870,27547,0.76,0.2,MIR15A-1
167H,13-049.576833,2110,15814,0.66,0.18,DLEU1-2
167H,16-002.038612,2160,14623,0.86,0.23,TSC2-1
167H,16-002.067648,567,5200,0.43,0.13,TSC2-25
167H,16-002.076651,895,7242,0.37,0.12,TSC2-38
167H,17-007.514677,351,3784,0.27,1,TP53-10
167H,17-007.519217,765,6504,0.26,0.07,TP53-4b
167H,17-007.531504,1037,8956,0.37,0.11,TP53-1
167H,17-026.577746,1085,11396,0.81,0.22,NF1-18
167H,17-026.681489,3563,27104,1.11,0.3,NF1-39
167H,17-038.450829,1793,18247,0.89,0.23,BRCA1-24
167H,17-038.479889,2703,24206,0.86,0.25,BRCA1-15
167H,17-038.510430,2612,19863,1.16,0.33,BRCA1-6
167H,18-046.829678,2585,22953,1.1,0.33,SMAD4-4
167H,18-046.858705,1772,19140,1.02,1,SMAD4-12
167H,19-001.157954,1600,11498,0.62,0.18,STK11-1
167H,19-001.170331,932,7379,0.5,0.14,STK11-3
167H,19-018.503959,1148,9535,0.55,0.16,FKBP8-9
167H,19-018.511130,1174,8853,0.51,0.14,FKBP8-4
167H,22-022.459352,724,6475,0.36,0.11,SMARCB1-1
167H,22-022.506421,1083,7640,0.44,0.12,SMARCB1-9
167H,X-063.326842,250,2492,0.55,1,AMER1-2
167H,X-063.342134,1060,6868,0.5,0.15,AMER1-1
167H,02-061.126370,1665,19472,1,0.26,References PEX13
167H,02-189.557818,4667,34920,1.35,0.36,References COL3A1
167H,04-001.902193,976,11188,0.66,1,References WHSC1
167H,04-187.390323,3939,28095,1.14,0.31,References KLKB1
167H,05-132.037607,4051,27562,1.12,0.29,References IL4
167H,06-065.588251,2789,24570,1.24,0.37,References EYS
167H,06-108.321498,1711,18441,1.01,0.27,References SEC63
167H,11-095.238425,2764,21836,1.33,0.39,References MTMR2
167H,14-022.972596,1846,13058,0.58,0.15,References MYH7
167H,15-042.653071,768,8172,0.52,0.14,References SPG11
167H,16-080.537323,1208,11930,0.64,0.17,References PLCG2
